20;1;375247;16.1688;6.75955;2.70511
20;1;375247;16.1688;6.81604;2.71258
20;1;375247;16.1688;6.7281;1.6574
20;1;375247;16.1688;6.80512;3.06086
20;1;375247;16.1688;6.75528;2.82491
20;1;375247;16.1688;6.74409;2.64649
20;1;375247;16.1688;6.80832;3.07188
20;1;375247;16.1688;6.84216;2.74698
20;1;375247;16.1688;6.77927;3.14363
20;1;375247;16.1688;6.69959;3.11233
50;1;2320777;100;1.46615;2.74425
50;1;2320777;100;1.44934;2.9979
50;1;2320777;100;1.46934;2.80702
50;1;2320777;100;1.44434;3.05028
50;1;2320777;100;1.45201;2.71352
50;1;2320777;100;1.46675;3.20543
50;1;2320777;100;1.44749;3.06347
50;1;2320777;100;1.46072;2.8479
50;1;2320777;100;1.45456;3.17615
50;1;2320777;100;1.46701;2.8104
100;1;2320727;100;1.19863;2.91585
100;1;2320727;100;1.20609;2.28896
100;1;2320727;100;1.20798;2.91412
100;1;2320727;100;1.18713;2.85893
100;1;2320727;100;1.19165;2.2761
100;1;2320727;100;1.19751;2.94805
100;1;2320727;100;1.2057;2.85831
100;1;2320727;100;1.19794;2.82423
100;1;2320727;100;1.20919;2.90152
100;1;2320727;100;1.19949;2.39621
200;1;2320627;100;0.917468;2.70759
200;1;2320627;100;0.905488;2.43668
200;1;2320627;100;0.902903;2.47704
200;1;2320627;100;0.911866;2.6485
200;1;2320627;100;0.915572;2.5283
200;1;2320627;100;0.911823;2.64982
200;1;2320627;100;0.914451;2.46271
200;1;2320627;100;0.916261;2.53332
200;1;2320627;100;0.906738;2.65766
200;1;2320627;100;0.912167;2.50341
20;2;375247;16.1688;0.112193;2.37465
20;2;375247;16.1688;0.107129;2.69876
20;2;375247;16.1688;0.112193;2.36504
20;2;375247;16.1688;0.106596;2.87802
20;2;375247;16.1688;0.103399;2.58536
20;2;375247;16.1688;0.113792;2.85573
20;2;375247;16.1688;0.112726;2.43727
20;2;375247;16.1688;0.114858;2.04236
20;2;375247;16.1688;0.105797;2.99935
20;2;375247;16.1688;0.103665;2.67396
50;2;2320777;100;0.106645;2.93471
50;2;2320777;100;0.107938;3.00402
50;2;2320777;100;0.109748;3.00557
50;2;2320777;100;0.108972;2.85212
50;2;2320777;100;0.107119;3.00815
50;2;2320777;100;0.108153;2.76868
50;2;2320777;100;0.109662;3.02243
50;2;2320777;100;0.107033;2.65161
50;2;2320777;100;0.107852;2.89632
50;2;2320777;100;0.107766;2.90146
100;2;2320727;100;0.106863;2.51144
100;2;2320727;100;0.109621;2.34767
100;2;2320727;100;0.104665;2.39492
100;2;2320727;100;0.106518;2.84056
100;2;2320727;100;0.105226;2.88006
100;2;2320727;100;0.104278;2.87384
100;2;2320727;100;0.108242;2.85793
100;2;2320727;100;0.105657;2.59914
100;2;2320727;100;0.105053;2.55046
100;2;2320727;100;0.106734;2.59961
200;2;2320627;100;0.103937;2.80057
200;2;2320627;100;0.109281;2.46002
200;2;2320627;100;0.108979;2.61221
200;2;2320627;100;0.108031;2.64937
200;2;2320627;100;0.11122;2.47154
200;2;2320627;100;0.111349;2.48393
200;2;2320627;100;0.105963;2.45082
200;2;2320627;100;0.109195;2.47953
200;2;2320627;100;0.107514;2.73048
200;2;2320627;100;0.106695;2.246
